timestamp,condition,condition_label,question_id,question,choices,gold,prediction,is_correct,prompt,response_text,latency_sec,model,temperature,top_p,max_output_tokens,input_tokens,output_tokens,total_tokens
20251113-004613,control,Control,Mercury_180443,Which phase of the Moon occurs after a waxing gibbous?,"{'A': 'waning gibbous', 'B': 'waxing crescent', 'C': 'full moon', 'D': 'new moon'}",C,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Which phase of the Moon occurs after a waxing gibbous?
Choices:
A. waning gibbous
B. waxing crescent
C. full moon
D. new moon
","Waxing gibbous means the visible illuminated portion is more than half and increasing toward full illumination. The phase that follows a waxing gibbous is the full moon, when the Moon is fully illuminated as seen from Earth.

Answer: C",3.4896531105041504,gpt-5-mini,0.2,0.95,300,130,182,312
20251113-004613,control,Control,Mercury_7128695,"A scientist makes a discovery while performing an investigation, but fails to maintain clear records of the tests performed. In which way does a lack of record keeping affect a scientist's work?","{'A': 'It invalidates the procedures and conclusions.', 'B': 'It makes the data obtained in the study incorrect.', 'C': 'It prevents other scientists from validating the results.', 'D': 'It prohibits other scientists from developing new hypotheses.'}",C,C,True,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: A scientist makes a discovery while performing an investigation, but fails to maintain clear records of the tests performed. In which way does a lack of record keeping affect a scientist's work?
Choices:
A. It invalidates the procedures and conclusions.
B. It makes the data obtained in the study incorrect.
C. It prevents other scientists from validating the results.
D. It prohibits other scientists from developing new hypotheses.
","Clear records are essential for others to reproduce and verify an experiment. Poor record keeping doesn't by itself make the original data incorrect nor automatically invalidate the conclusions, but it does prevent other scientists from checking, repeating, or validating the results; it also doesn't entirely prohibit new hypotheses. Therefore C is correct.

Answer: C",5.064152240753174,gpt-5-mini,0.2,0.95,300,173,260,433
20251113-004613,control,Control,Mercury_414131,Which describes a property of all elements?,"{'A': 'All elements are metals.', 'B': 'All elements have six electrons.', 'C': 'All elements are pure substances.', 'D': 'All elements exist in the solid phase.'}",C,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Which describes a property of all elements?
Choices:
A. All elements are metals.
B. All elements have six electrons.
C. All elements are pure substances.
D. All elements exist in the solid phase.
","Elements are substances made of only one kind of atom, so they are pure substances — this is true for all elements. The other options are false: some elements are nonmetals or metalloids (not all are metals), only carbon has six electrons in a neutral atom (not all do), and elements can be solids, liquids, or gases at given conditions (not all are solid).

Answer: C",5.219260215759277,gpt-5-mini,0.2,0.95,300,134,216,350
20251113-004613,control,Control,Mercury_7018008,What best describes the electrical property of an atom?,"{'A': 'neutral', 'B': 'insulated', 'C': 'positively charged', 'D': 'negatively charged'}",A,A,True,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: What best describes the electrical property of an atom?
Choices:
A. neutral
B. insulated
C. positively charged
D. negatively charged
","An atom has equal numbers of positively charged protons and negatively charged electrons, so its net electrical charge is zero — it is electrically neutral. (If it gains or loses electrons it becomes an ion and is charged.)

Answer: A",4.027220010757446,gpt-5-mini,0.2,0.95,300,121,180,301
20251113-004613,control,Control,MCAS_2013_8_29421,"When a person's sweat evaporates, the person feels cooler. Which of the following statements best describes why sweating helps the person feel cool?","{'A': 'Heat is absorbed by sweat when it evaporates.', 'B': 'Heat is absorbed by the body when sweat evaporates.', 'C': 'The temperature of the water in sweat goes down when it evaporates.', 'D': 'The temperature of the water in the body goes up when sweat evaporates.'}",A,,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: When a person's sweat evaporates, the person feels cooler. Which of the following statements best describes why sweating helps the person feel cool?
Choices:
A. Heat is absorbed by sweat when it evaporates.
B. Heat is absorbed by the body when sweat evaporates.
C. The temperature of the water in sweat goes down when it evaporates.
D. The temperature of the water in the body goes up when sweat evaporates.
",,4.523760080337524,gpt-5-mini,0.2,0.95,300,178,256,434
20251113-004613,control,Control,MCAS_2006_5_29,Four rods of equal thickness but made of different metals were tested with equal amounts of weight to see which was most flexible. Which of the following is the best way to report the results of this experiment?,"{'A': 'a list of each type of rod used', 'B': 'a sketch of each rod before testing', 'C': 'a table showing how much each rod weighed', 'D': 'a bar graph showing how much each rod bent'}",D,E,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Four rods of equal thickness but made of different metals were tested with equal amounts of weight to see which was most flexible. Which of the following is the best way to report the results of this experiment?
Choices:
A. a list of each type of rod used
B. a sketch of each rod before testing
C. a table showing how much each rod weighed
D. a bar graph showing how much each rod bent
","We want to compare how much each metal rod bent under the same weight—i.e., a quantitative measurement for several categories. A bar graph clearly and visually compares the bending amounts for each rod. The other choices (listing types, sketches before testing, or tabling rod weights) do not show the measured bending results.

Answer: D",5.342023849487305,gpt-5-mini,0.2,0.95,300,177,265,442
20251113-004613,control,Control,NYSEDREGENTS_2014_8_38,A substance in the solid phase (state) of matter has,"{'1': 'a definite shape and a definite volume', '2': 'a definite shape, but no definite volume', '3': 'no definite shape, but a definite volume', '4': 'no definite shape and no definite volume'}",1,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: A substance in the solid phase (state) of matter has
Choices:
1. a definite shape and a definite volume
2. a definite shape, but no definite volume
3. no definite shape, but a definite volume
4. no definite shape and no definite volume
","Solids have particles that are closely packed in a fixed arrangement and only vibrate about fixed positions, so a solid maintains a fixed (definite) shape and a fixed (definite) volume. Therefore choice 1 is correct.

Answer: A",4.344075918197632,gpt-5-mini,0.2,0.95,300,148,248,396
20251113-004613,control,Control,Mercury_7103565,High-pressure systems stop air from rising into the colder regions of the atmosphere where water can condense. What will most likely result if a high-pressure system remains in an area for a long period of time?,"{'A': 'fog', 'B': 'rain', 'C': 'drought', 'D': 'tornado'}",C,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: High-pressure systems stop air from rising into the colder regions of the atmosphere where water can condense. What will most likely result if a high-pressure system remains in an area for a long period of time?
Choices:
A. fog
B. rain
C. drought
D. tornado
","High-pressure systems cause sinking air, which prevents air from rising and cooling enough for condensation and precipitation. If a high-pressure system stays over an region for a long time, reduced cloud formation and precipitation lead to dry conditions and likely drought.

Answer: C",2.4074370861053467,gpt-5-mini,0.2,0.95,300,150,120,270
20251113-004613,control,Control,Mercury_7233678,Scientists believe continental drift over Earth's geological history has had a significant impact on Earth's cycles of warmer and cooler climates. Which statement describes a characteristic of Earth's continents that is most likely to cause changes in global climate when continents drift?,"{'A': 'The location of the continent affects its surface reflectivity.', 'B': 'Continental plate depth determines its specific heat.', 'C': 'Continental drift absorbs large amounts of kinetic energy.', 'D': 'The temperature of a continent is affected by its nearest ocean.'}",A,,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Scientists believe continental drift over Earth's geological history has had a significant impact on Earth's cycles of warmer and cooler climates. Which statement describes a characteristic of Earth's continents that is most likely to cause changes in global climate when continents drift?
Choices:
A. The location of the continent affects its surface reflectivity.
B. Continental plate depth determines its specific heat.
C. Continental drift absorbs large amounts of kinetic energy.
D. The temperature of a continent is affected by its nearest ocean.
","Continental drift changes the latitude and position of landmasses, which alters how much sunlight different",5.342839956283569,gpt-5-mini,0.2,0.95,300,185,280,465
20251113-004613,control,Control,Mercury_7115063,Which of the following is most likely to disrupt a wetland ecosystem?,"{'A': 'construction of a housing development', 'B': 'planting native wildflowers', 'C': 'a period of heavy rainfall', 'D': 'a lightning strike'}",A,A,True,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Which of the following is most likely to disrupt a wetland ecosystem?
Choices:
A. construction of a housing development
B. planting native wildflowers
C. a period of heavy rainfall
D. a lightning strike
","Construction of a housing development is most likely to disrupt a wetland ecosystem. Building requires draining or filling wetland areas, altering water flow, fragmenting habitat, and introducing pollutants and human disturbance. 

B is beneficial (native plants support the ecosystem), C (heavy rainfall) is a natural, usually temporary fluctuation wetlands are adapted to, and D (lightning strike) is a localized event unlikely to cause widespread disruption.

Answer: A",4.361933946609497,gpt-5-mini,0.2,0.95,300,136,222,358
